A01 48°59'59.00"N 002°33'38.57"E
H09 49°00'56.14"N 002°34'28.37"E
H10 49°00'55.95"N 002°34'24.82"E
H11 49°00'49.01"N 002°34'29.26"E
H12 49°00'49.01"N 002°34'25.67"E
H20 49°00'58.17"N 002°34'43.53"E
H21 49°00'58.05"N 002°34'41.38"E
H22 49°00'57.94"N 002°34'39.25"E
H23 49°00'58.28"N 002°34'42.65"E
H30 49°00'57.79"N 002°34'36.40"E
H34 49°00'57.67"N 002°34'34.27"E
H40 49°00'57.56"N 002°34'32.13"E
H50 49°00'48.93"N 002°34'44.67"E
H55 49°00'48.54"N 002°34'42.84"E
H60 49°00'48.70"N 002°34'40.39"E
H65 49°00'48.81"N 002°34'42.52"E
H70 49°00'48.55"N 002°34'37.54"E
H80 49°00'48.32"N 002°34'33.28"E
H87 49°00'48.43"N 002°34'35.41"E
I04 49°00'49.01"N 002°30'17.76"E
I05 49°00'49.13"N 002°30'20.00"E
I06 49°00'49.26"N 002°30'22.23"E
I07 49°00'49.37"N 002°30'24.15"E
I09 49°00'43.82"N 002°30'18.40"E
I10 49°00'43.94"N 002°30'20.64"E
I11 49°00'44.06"N 002°30'22.87"E
I12 49°00'43.84"N 002°30'24.66"E
I14 49°00'41.43"N 002°30'20.97"E
I15 49°00'39.50"N 002°30'20.92"E
I16 49°00'39.10"N 002°30'21.21"E
I17 49°00'37.58"N 002°30'21.16"E
I18 49°00'36.77"N 002°30'21.50"E
I19 49°00'35.66"N 002°30'21.40"E
I20 49°00'47.26"N 002°30'09.30"E
I21 49°00'45.04"N 002°30'08.30"E
I22 49°00'44.42"N 002°30'08.24"E
I23 49°00'43.12"N 002°30'08.54"E
I24 49°00'41.20"N 002°30'08.79"E
I25 49°00'39.28"N 002°30'09.03"E
I26 49°00'37.96"N 002°30'08.87"E
I27 49°00'37.32"N 002°30'08.53"E
I35 49°00'54.27"N 002°30'11.54"E
I36 49°00'54.13"N 002°30'08.97"E
I37 49°00'53.99"N 002°30'06.39"E
I38 49°00'53.81"N 002°30'02.97"E
I39 49°00'53.67"N 002°30'00.40"E
I3A 49°00'52.85"N 002°30'10.94"E
I3B 49°00'52.76"N 002°30'09.16"E
I3C 49°00'52.67"N 002°30'07.42"E
I3D 49°00'52.57"N 002°30'05.62"E
I3F 49°00'52.52"N 002°30'03.27"E
I3G 49°00'52.43"N 002°30'01.60"E
I3H 49°00'52.34"N 002°29'59.92"E
I40 49°00'48.32"N 002°30'09.64"E
I41 49°00'47.46"N 002°30'08.02"E
I42 49°00'47.71"N 002°30'07.73"E
I43 49°00'47.26"N 002°30'04.31"E
I44 49°00'47.10"N 002°30'01.40"E
I45 49°00'46.95"N 002°29'58.48"E
I46 49°00'46.78"N 002°29'55.56"E
I47 49°00'46.63"N 002°29'52.64"E
I48 49°00'46.44"N 002°29'49.14"E
I49 49°00'46.28"N 002°29'46.22"E
I4J 49°00'48.89"N 002°30'08.18"E
I4K 49°00'48.80"N 002°30'06.50"E
I4L 49°00'48.71"N 002°30'04.82"E
I4M 49°00'48.61"N 002°30'03.15"E
I4N 49°00'48.52"N 002°30'01.47"E
I4O 49°00'48.43"N 002°29'59.79"E
I4P 49°00'48.34"N 002°29'58.12"E
I4R 49°00'48.25"N 002°29'56.44"E
I4S 49°00'48.16"N 002°29'54.76"E
I4T 49°00'48.07"N 002°29'53.09"E
I4U 49°00'47.98"N 002°29'51.41"E
I4V 49°00'47.87"N 002°29'49.34"E
I4W 49°00'47.78"N 002°29'47.66"E
I4X 49°00'47.68"N 002°29'45.99"E
I50 49°00'45.80"N 002°29'43.35"E
I51 49°00'44.86"N 002°29'40.55"E
I52 49°00'44.03"N 002°29'40.93"E
I53 49°00'42.93"N 002°29'40.54"E
I54 49°00'41.69"N 002°29'41.22"E
I55 49°00'41.01"N 002°29'40.76"E
I80 49°00'54.92"N 002°29'42.25"E
I81 49°00'56.08"N 002°29'42.66"E
I82 49°00'57.25"N 002°29'43.08"E
I83 49°00'58.43"N 002°29'43.48"E
I84 49°00'56.87"N 002°29'47.66"E
I85 49°00'55.70"N 002°29'47.22"E
I86 49°00'54.53"N 002°29'46.82"E
I87 49°00'53.36"N 002°29'46.43"E
I88 49°00'52.71"N 002°29'44.81"E
I89 49°00'52.19"N 002°29'46.03"E
I90 49°00'52.70"N 002°29'52.83"E
I91 49°00'54.46"N 002°29'51.65"E
J01 49°00'15.22"N 002°35'52.01"E
J02 49°00'14.07"N 002°35'52.26"E
J03 49°00'13.03"N 002°35'52.51"E
J04 49°00'13.03"N 002°35'54.06"E
J05 49°00'14.54"N 002°35'53.87"E
J06 49°00'15.62"N 002°35'53.94"E
J10 49°00'17.46"N 002°36'00.37"E
J11 49°00'16.07"N 002°36'00.55"E
J12 49°00'14.88"N 002°36'00.70"E
J13 49°00'13.93"N 002°36'00.16"E
J14 49°00'14.08"N 002°36'01.54"E
J16 49°00'14.22"N 002°36'03.15"E
J18 49°00'14.76"N 002°36'03.72"E
J20 49°00'15.85"N 002°36'03.50"E
J21 49°00'16.94"N 002°36'03.36"E
J30 49°00'17.35"N 002°36'10.33"E
J31 49°00'16.25"N 002°36'10.29"E
J33 49°00'15.14"N 002°36'10.15"E
J34 49°00'14.44"N 002°36'10.57"E
J37 49°00'14.74"N 002°36'12.72"E
J38 49°00'14.77"N 002°36'14.06"E
J39 49°00'15.51"N 002°36'13.48"E
J40 49°00'16.65"N 002°36'13.32"E
J41 49°00'17.99"N 002°36'13.02"E
K01 49°00'27.18"N 002°35'06.92"E
K05 49°00'26.93"N 002°35'06.88"E
K09 49°00'24.77"N 002°35'07.22"E
K13 49°00'22.65"N 002°35'07.47"E
K17 49°00'22.41"N 002°35'07.51"E
K21 49°00'20.08"N 002°35'07.80"E
K26 49°00'27.72"N 002°35'23.88"E
K32 49°00'25.38"N 002°35'23.38"E
K38 49°00'23.38"N 002°35'23.66"E
K44 49°00'20.70"N 002°35'23.95"E
K52 49°00'14.23"N 002°35'24.74"E
K53 49°00'13.10"N 002°35'08.57"E
K58 49°00'11.89"N 002°35'25.33"E
K59 49°00'10.20"N 002°35'09.01"E
K64 49°00'09.55"N 002°35'25.33"E
K65 49°00'07.29"N 002°35'09.37"E
K70 49°00'07.21"N 002°35'25.61"E
K71 49°00'04.97"N 002°35'09.65"E
K76 49°00'04.85"N 002°35'25.90"E
L27 49°00'27.90"N 002°35'27.88"E
L33 49°00'25.72"N 002°35'28.23"E
L39 49°00'22.25"N 002°35'28.58"E
L53 49°00'13.96"N 002°35'29.88"E
L59 49°00'11.14"N 002°35'30.23"E
L65 49°00'08.31"N 002°35'30.58"E
L71 49°00'05.49"N 002°35'30.93"E
M06 49°00'01.45"N 002°32'45.31"E
M07 49°00'01.25"N 002°32'41.75"E
M08 49°00'01.06"N 002°32'38.20"E
M09 49°00'00.91"N 002°32'34.64"E
M10 49°00'00.70"N 002°32'31.08"E
M11 49°00'00.52"N 002°32'27.51"E
M12 49°00'00.30"N 002°32'23.99"E
M13 49°00'00.01"N 002°32'20.64"E
M14 48°59'59.93"N 002°32'16.78"E
M15 48°59'59.61"N 002°32'13.37"E
M16 48°59'59.78"N 002°32'10.92"E
M17 48°59'59.52"N 002°32'04.92"E
M20 48°59'57.64"N 002°32'10.81"E
M21 49°00'00.01"N 002°32'10.71"E
M22 48°59'59.08"N 002°32'10.63"E
M23 48°59'59.93"N 002°32'08.95"E
M24 48°59'59.68"N 002°32'07.29"E
N01 48°59'48.20"N 002°31'52.66"E
N02 48°59'46.19"N 002°31'52.71"E
N03 48°59'44.17"N 002°31'52.93"E
N04 48°59'41.94"N 002°31'54.25"E
N05 48°59'39.55"N 002°31'54.21"E
N06 48°59'37.13"N 002°31'54.51"E
N08 48°59'32.09"N 002°31'55.48"E
N09 48°59'29.66"N 002°31'55.68"E
N10 48°59'27.12"N 002°31'56.10"E
N11 48°59'24.70"N 002°31'56.40"E
N31 48°59'44.72"N 002°31'53.33"E
N33 48°59'43.59"N 002°31'53.47"E
N41 48°59'42.41"N 002°31'53.62"E
N43 48°59'41.31"N 002°31'54.69"E
N51 48°59'40.00"N 002°31'54.80"E
N53 48°59'38.07"N 002°31'54.96"E
N60 48°59'29.30"N 002°31'57.70"E
N61 48°59'28.99"N 002°31'58.13"E
N63 48°59'28.97"N 002°31'55.29"E
N68 48°59'32.71"N 002°31'58.24"E
N69 48°59'33.01"N 002°31'57.63"E
N70 48°59'24.33"N 002°31'58.32"E
N71 48°59'24.02"N 002°31'58.74"E
N72 48°59'24.22"N 002°31'56.11"E
N73 48°59'24.00"N 002°31'55.90"E
N78 48°59'27.74"N 002°31'58.86"E
N79 48°59'28.04"N 002°31'58.25"E
P70 48°59'33.81"N 002°32'09.20"E
P71 48°59'32.68"N 002°32'09.34"E
P72 48°59'31.55"N 002°32'09.53"E
P73 48°59'30.42"N 002°32'09.67"E
P74 48°59'28.84"N 002°32'09.81"E
P75 48°59'27.71"N 002°32'09.96"E
P76 48°59'26.57"N 002°32'09.85"E
P80 48°59'33.86"N 002°32'10.65"E
P81 48°59'32.49"N 002°32'11.00"E
P82 48°59'31.76"N 002°32'13.08"E
P83 48°59'31.87"N 002°32'15.19"E
P84 48°59'32.82"N 002°32'17.06"E
P85 48°59'34.13"N 002°32'16.99"E
P86 48°59'35.53"N 002°32'17.37"E
P90 48°59'27.99"N 002°32'12.78"E
P91 48°59'28.19"N 002°32'16.45"E
P92 48°59'27.04"N 002°32'11.79"E
P93 48°59'27.72"N 002°32'14.30"E
P94 48°59'27.86"N 002°32'16.87"E
Q01 49°00'41.52"N 002°33'10.36"E
Q02 49°00'41.69"N 002°33'13.57"E
Q03 49°00'41.76"N 002°33'14.48"E
Q04 49°00'41.80"N 002°33'15.52"E
Q05 49°00'41.90"N 002°33'17.49"E
Q06 49°00'41.98"N 002°33'18.34"E
Q07 49°00'42.01"N 002°33'19.45"E
Q08 49°00'42.12"N 002°33'21.41"E
Q09 49°00'42.19"N 002°33'22.39"E
Q10 49°00'42.22"N 002°33'23.37"E
Q11 49°00'42.33"N 002°33'25.33"E
Q12 49°00'49.08"N 002°33'23.84"E
Q13 49°00'49.08"N 002°33'23.39"E
Q14 49°00'48.96"N 002°33'21.61"E
Q15 49°00'48.89"N 002°33'19.84"E
Q16 49°00'48.84"N 002°33'19.32"E
Q17 49°00'48.70"N 002°33'16.76"E
Q18 49°00'48.69"N 002°33'16.16"E
Q19 49°00'48.57"N 002°33'14.52"E
Q20 49°00'48.49"N 002°33'12.61"E
Q21 49°00'48.45"N 002°33'12.23"E
R01 49°01'03.56"N 002°32'59.00"E
R02 49°01'01.63"N 002°32'59.49"E
R03 49°01'01.35"N 002°32'59.37"E
R04 49°00'59.88"N 002°32'59.71"E
R05 49°00'58.16"N 002°32'59.92"E
R06 49°00'57.88"N 002°32'59.80"E
R07 49°00'56.43"N 002°33'00.14"E
R08 49°00'54.69"N 002°33'00.35"E
R09 49°00'54.41"N 002°33'00.23"E
R10 49°00'52.94"N 002°33'00.57"E
R11 49°00'51.15"N 002°33'00.99"E
R12 49°00'50.20"N 002°33'00.94"E
R13 49°00'49.59"N 002°33'01.57"E
R14 49°00'47.74"N 002°33'02.38"E
R39 49°01'01.17"N 002°32'59.15"E
S06 49°00'40.85"N 002°32'10.09"E
S06B 49°00'42.85"N 002°32'11.26"E
S07 49°00'42.45"N 002°32'10.25"E
S07B 49°00'42.42"N 002°32'11.86"E
S08 49°00'41.63"N 002°32'11.37"E
S08B 49°00'41.38"N 002°32'11.54"E
S09 49°00'40.28"N 002°32'13.23"E
S09B 49°00'40.87"N 002°32'14.06"E
S10 49°00'39.30"N 002°32'13.31"E
S11 49°00'39.17"N 002°32'13.81"E
S12 49°00'39.09"N 002°32'15.36"E
S13 49°00'38.47"N 002°32'17.40"E
S14 49°00'39.18"N 002°32'18.32"E
S15 49°00'39.03"N 002°32'20.68"E
S16 49°00'38.69"N 002°32'21.13"E
S17 49°00'39.24"N 002°32'22.73"E
S18 49°00'38.81"N 002°32'24.25"E
S19 49°00'39.35"N 002°32'24.79"E
S20 49°00'39.68"N 002°32'27.17"E
S21 49°00'39.01"N 002°32'28.05"E
S22 49°00'39.77"N 002°32'28.84"E
S23 49°00'39.72"N 002°32'36.75"E
S24 49°00'40.15"N 002°32'39.99"E
S25 49°00'39.47"N 002°32'40.80"E
S26 49°00'40.27"N 002°32'42.13"E
S27 49°00'39.67"N 002°32'44.35"E
S28 49°00'40.49"N 002°32'46.39"E
S29 49°00'40.05"N 002°32'47.88"E
S30 49°00'40.56"N 002°32'48.53"E
S31 49°00'40.71"N 002°32'50.71"E
U06 49°00'46.88"N 002°32'39.44"E
U07 49°00'45.68"N 002°32'40.08"E
U08 49°00'45.80"N 002°32'40.80"E
U10 49°00'47.27"N 002°32'43.89"E
U11 49°00'49.07"N 002°32'44.37"E
V04 49°00'59.63"N 002°32'39.79"E
V05 49°01'00.66"N 002°32'37.14"E
V06 49°00'59.65"N 002°32'34.97"E
V07 49°00'57.90"N 002°32'34.24"E
V08 49°00'59.27"N 002°32'34.93"E
V09 49°01'00.27"N 002°32'35.91"E
W01 49°00'59.38"N 002°32'32.72"E
W02 49°01'01.20"N 002°32'33.48"E
W03 49°00'59.67"N 002°32'32.78"E
W04 49°01'01.67"N 002°32'30.05"E
W05 49°01'01.33"N 002°32'27.05"E
W06 49°00'59.74"N 002°32'26.27"E
W07 49°00'58.00"N 002°32'27.48"E
W08 49°00'59.34"N 002°32'26.67"E
X01 49°00'58.49"N 002°32'24.86"E
X02 49°01'00.20"N 002°32'23.67"E
X03 49°00'58.82"N 002°32'24.51"E
X04 49°00'59.13"N 002°32'20.56"E
X05 49°00'57.59"N 002°32'18.60"E
X06 49°00'55.98"N 002°32'19.78"E
X07 49°00'55.23"N 002°32'22.20"E
X08 49°00'55.91"N 002°32'20.26"E
Y01 49°00'54.50"N 002°32'19.71"E
Y02 49°00'55.30"N 002°32'17.14"E
Y03 49°00'54.59"N 002°32'19.12"E
Y04 49°00'53.15"N 002°32'15.82"E
Y05 49°00'51.10"N 002°32'15.88"E
Y06 49°00'50.42"N 002°32'18.27"E
Y07 49°00'50.87"N 002°32'20.89"E
Y08 49°00'50.51"N 002°32'18.77"E
Y09 49°00'50.62"N 002°32'16.99"E
Y49 49°00'53.55"N 002°32'15.57"E
Z01 49°00'49.25"N 002°32'19.69"E
Z02 49°00'48.75"N 002°32'16.75"E
Z03 49°00'49.08"N 002°32'19.15"E
Z04 49°00'46.58"N 002°32'18.00"E
Z05 49°00'45.04"N 002°32'20.18"E
Z06 49°00'45.18"N 002°32'23.06"E
Z07 49°00'46.16"N 002°32'24.39"E
Z08 49°00'47.03"N 002°32'24.08"E
Z09 49°00'46.35"N 002°32'23.49"E
